ID,ADDRESS,CITY,STATE,ZIP,COUNTRYCODE,Longitude,Latitude,Match Score
Akron,350 Opportunity Pkwy,AKRON,OH,44307-2234,USA,-81.536009,41.07321148,100
Albany,3011 Clark Ave,ALBANY,GA,31705,USA,-84.06804941,31.58118333,100
Albuquerque,5840 Office Blvd NE,ALBUQUERQUE,NM,87109-5819,USA,-106.6009649,35.14636728,100
Alexandria,3223 Baldwin Ave,ALEXANDRIA,LA,71301-3506,USA,-92.45249443,31.27021773,100
Allentown,2045 Harvest Way,ALLENTOWN,PA,,USA,-75.49631492,40.58786625,100
Anchorage,2121 Spar Ave,ANCHORAGE,AK,99501-1855,USA,-149.84136,61.22248749,100
Anderson,1417 Meridian St.,ANDERSON,IN,,USA,-85.67924555,40.10171722,100
AnnArbor,1 Carrot Way,ANNARBOR,MI,48105-9290,USA,-83.72725747,42.31725765,99
ArdenHillsZD,555 Park St.,STPAUL,MN,55103,USA,-93.10379734,44.95832134,99.99
Asheville,627 Swannanoa River Rd,ASHEVILLE,NC,28805-2445,USA,-82.49866393,35.57708874,100
Athens,861 Newton Bridge Rd,ATHENS,GA,30607-1305,USA,-83.40092053,34.00266237,100
Atlanta,732 Joseph E Lowery Blvd NW,ATLANTA,GA,30318-6658,USA,-84.41737354,33.7753887,100
Auburn,3121 Hotel Rd,AUBURN,ME,04210-8398,USA,-70.2873727,44.03016003,100
Augusta,3310 Commerce Dr,AUGUSTA,GA,30909-4417,USA,-82.06001111,33.4503606,100
Austin,6500 Metropolis Dr,AUSTIN,TX,78744-3123,USA,-97.70933768,30.20292384,100
Baltimore,2200 Halethorpe Farms Rd,BALTIMORE,MD,21227-4551,USA,-76.68536234,39.22723868,100
BatonRouge,10600 S Choctaw Dr,BATONROUGE,LA,70815-1826,USA,-91.06653094,30.47215316,99.99
BattleCreek1,5451 Wayne Rd,BATTLECREEK,MI,49037-7327,USA,-85.2886651,42.33583355,100
BattleCreekZC,5451 Wayne Rd.,BATTLECREEK,MI,,USA,-85.2886651,42.33583355,100
BeaumontZD,3845 Martin Luther King Parkway,BEAUMONT,TX,,USA,-94.07799152,30.04999476,100
BethanyZC,50 Ralph Rd.,BETHANY,CT,,USA,-73.01194229,41.43717623,100
BethelHeights,1378 June Self Dr,BETHELHEIGHTS,AR,72764-8142,USA,-94.11470164,36.22284053,99
Birmingham,107 Walter Davis Dr,BIRMINGHAM,AL,35209-2803,USA,-86.8386879,33.47445284,100
Bloomington,2333 W Industrial Park Dr,BLOOMINGTON,IN,47404-2602,USA,-86.56797078,39.17470152,100
Boise,3562 S Tk Ave,BOISE,ID,83705-5278,USA,-116.191953,43.56983683,100
Boston,70 S Bay Ave,BOSTON,MA,02118-2704,USA,-71.06582495,42.33380422,100
Buffalo,91 Holt St,BUFFALO,NY,14206-2293,USA,-78.83071981,42.88136079,100
BuffaloZD,91 Holt St.,BUFFALO,NY,,USA,-78.83071981,42.88136079,100
CathedralCity,"68615 Perez Rd., 14B, PO Box 41",CATHEDRALCITY,CA,,USA,-116.4649112,33.78470648,96.21
Charleston,2864 Azalea Dr,CHARLESTON,SC,29405-8216,USA,-79.97155322,32.8435329,100
Charlotte,500 Spratt St Ste B,CHARLOTTE,NC,28206-3235,USA,-80.83807495,35.23900281,100
Chattanooga,2009 Curtain Pole Rd,CHATTANOOGA,TN,37406-2306,USA,-85.27480639,35.06223135,100
ChattanoogaZD,3402 N. Hawthorne St.,CHATTANOOGA,TN,,USA,-85.25204057,35.07888113,100
Chicago,4100 W 42nd Pl,CHICAGO,IL,60632-3920,USA,-87.72631758,41.81644316,100
ChicagoZD,4100 W. Ann Lurie Place,CHICAGO,IL,,USA,-87.72631758,41.81644316,100
Cincinnati,1250 Tennessee Ave.,CINCINNATI,OH,45229,USA,-84.47635953,39.16833548,100
Cleveland,15500 S Waterloo Rd,CLEVELAND,OH,44110-3800,USA,-81.5729087,41.5679624,100
ClevelandZC,15500 S. Waterloo Rd.,CLEVELAND,OH,,USA,-81.5729087,41.5679624,100
coloradosprings,2605 Preamble Pt,COLORADOSPRINGS,CO,80915-1200,USA,-104.72246,38.86998,85
coloradospringsZC,"2520 Aviation Way, Suite 130",COLORADOSPRINGS,CO,,USA,-104.7238271,38.79407128,99
Columbia,2101 Vandiver Dr Ste B,COLUMBIA,MO,65202-1910,USA,-92.30585266,38.97194536,100
ColumbiaSC,2220 Shop Rd,COLUMBIA,SC,29201-5162,USA,-80.99015631,33.96219927,100
ColumbiaZD,2220 Shop Rd.,COLUMBIA,SC,,USA,-80.99015631,33.96219927,100
ColumbusGA,5928 Coca Cola Boulevard,COLUMBUS,GA,31908-8904,USA,-84.88711586,32.52978803,97.75
ColumbusGAZD,5928 Coca-Cola Boulevard,COLUMBUS,GA,,USA,-84.88711586,32.52978803,100
ColumbusOH,1625 W. Mound St,COLUMBUS,OH,,USA,-83.04119327,39.94426412,100
ColumbusZC,1625 W. Mound St.,COLUMBUS,OH,,USA,-83.04119327,39.94426412,100
ComstockPark,864 W River Center Dr NE,COMSTOCKPARK,MI,49321-8955,USA,-85.65073906,43.04886864,100
ConcordZD,4010 Nelson Ave.,CONCORD,CA,,USA,-122.0471076,38.00652078,100
CorpusChristi,826 Krill St,CORPUSCHRISTI,TX,78408-2515,USA,-97.4556282,27.80158543,99
DallasZC,4306 Shilling Way,DALLAS,TX,,USA,-96.8898915,32.68956655,100
Dayton,56 Armor Pl,DAYTON,OH,45417-1187,USA,-84.21071229,39.74881461,100
Delmont,100 Devonshire Dr,DELMONT,PA,15626-1607,USA,-79.58210724,40.39631989,100
Denver,10700 E 45th Ave,DENVER,CO,80239-2906,USA,-104.8632605,39.77864153,100
DesMoines,2220 E 17th St,DESMOINES,IA,50316-2114,USA,-93.59116874,41.6142895,99
DesMoinesZC,2220 E. 17th St.,DESMOINES,IA,,USA,-93.59116874,41.6142895,99
Detroit,2131 Beaufait St,DETROIT,MI,48207-3410,USA,-83.01369834,42.3540917,100
DetroitZC,2131 Beaufait St.,DETROIT,MI,,USA,-83.01369834,42.3540917,100
EastHaven,2 Research Parkway,Wallingford,CT,6492,USA,-72.76494394,41.48006843,100
EastSyracuse,6970 Schuyler Rd.,EASTSYRACUSE,NY,,USA,-76.07292104,43.10929678,99
ElizabethCity,109 Tidewater Way,ELIZABETHCITY,NC,27909-6765,USA,-76.20825338,36.26831741,99
Elizabethtown,313 Peterson Dr,ELIZABETHTOWN,KY,42701,USA,-85.90594681,37.68449171,100
Elmira,388 Upper Oakwood Ave,ELMIRA,NY,14903-1129,USA,-76.82511252,42.13788451,100
ErieZC,1703 Ash St.,ERIE,PA,,USA,-80.06524182,42.12408534,100
Evansville,801 E Michigan St,EVANSVILLE,IN,47711-5631,USA,-87.552468,37.98092147,100
